# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/mnt/data/gdata/human/hg38/chr21/homo_sapiens_hg38_chr21.gtf" "-o" "../03_count/siC1_chr21_counts.txt" "-R" "BAM" "siC1_chr21_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	siC1_chr21_Aligned.sortedByCoord.out.bam
ENSG00000233997	21;21;21;21;21;21;21;21;21	21746973;21746985;21748395;21784973;21784973;21786299;21786299;21797179;21797179	21747043;21747043;21748684;21785053;21785053;21786391;21786391;21797415;21797415	+;+;+;+;+;+;+;+;+	772	0
ENSG00000227075	21;21;21	21933315;21973120;21975560	21933599;21973242;21975681	-;-;-	530	0
ENSG00000233215	21;21;21;21;21;21;21;21;21;21;21;21	22008944;22009158;22016300;22016300;22017888;22041174;22041220;22042945;22042945;22054310;22096529;22098313	22009358;22009358;22016410;22016410;22018156;22041435;22041435;22043087;22043108;22054369;22096586;22098459	-;-;-;-;-;-;-;-;-;-;-;-	1486	0
ENSG00000184856	21;21;21;21;21;21	22098617;22109446;22111771;22114760;22114978;22116336	22098712;22109553;22111826;22114898;22115112;22116528	+;+;+;+;+;+	727	0
ENSG00000234340	21	22134698	22136083	-	1386	0
ENSG00000231136	21	22153950	22154299	-	350	0
ENSG00000202339	21	22205192	22205332	+	141	0
ENSG00000226043	21;21;21	22209939;22212735;22420770	22210244;22212813;22420819	+;+;+	435	0
ENSG00000223488	21	22436290	22438349	-	2060	0
ENSG00000234034	21;21;21	22500604;22518744;22519868	22501310;22518822;22520058	-;-;-	977	0
ENSG00000225906	21;21;21	22882582;22883203;22883894	22882888;22883417;22884000	+;+;+	629	0
ENSG00000230972	21;21;21;21;21	23065491;23067919;23108820;23128641;23131023	23065669;23068036;23109002;23128738;23131206	+;+;+;+;+	762	0
ENSG00000275469	21	23079284	23079392	+	109	0
ENSG00000219368	21	23090028	23091831	-	1804	0
ENSG00000231058	21;21;21	23101223;23101585;23102185	23101446;23101838;23103074	+;+;+	1368	0
ENSG00000223078	21	23281736	23281909	-	174	0
ENSG00000228592	21;21;21;21;21	23361104;23364038;23372327;23372948;23384688	23362239;23364193;23372448;23373084;23384861	-;-;-;-;-	1725	0
ENSG00000223822	21	23390258	23390996	+	739	0
ENSG00000237569	21;21	23407658;23408483	23408363;23409128	-;-	1352	0
ENSG00000199698	21	23432181	23432282	-	102	0
ENSG00000227716	21;21	23477641;23489995	23477771;23490724	+;+	861	0
ENSG00000231986	21;21;21	23888798;23889510;23890407	23889125;23889726;23890541	-;-;-	680	0
ENSG00000235564	21;21	23960905;23967180	23961588;23967273	-;-	778	0
ENSG00000226996	21;21;21;21	24043257;24043257;24043490;24049520	24043336;24043336;24043626;24050286	+;+;+;+	984	0
ENSG00000224018	21;21;21	24155170;24187271;24188300	24155729;24187360;24188342	-;-;-	693	0
ENSG00000224832	21;21;21;21	24304550;24307619;24308216;24321250	24306169;24307759;24308333;24321377	-;-;-;-	2007	0
ENSG00000237484	21;21;21;21;21;21;21;21;21;21;21;21	24428740;24428758;24428781;24438253;24438253;24441169;24441169;24441795;24485623;24488113;24530664;24545995	24428904;24428904;24428904;24438443;24438433;24441324;24441353;24441913;24485685;24490307;24530767;24547942	+;+;+;+;+;+;+;+;+;+;+;+	4970	0
ENSG00000226983	21;21;21;21	24840550;24844779;25029784;25055434	24840728;24844929;25029859;25057746	+;+;+;+	2719	0
ENSG00000227090	21;21	24886676;24902678	24887136;24902756	-;-	540	0
ENSG00000230379	21;21;21;21;21;21	24938431;24938431;24938431;24943923;24951911;24992703	24938624;24938624;24938624;24943980;24952157;24992817	-;-;-;-;-;-	614	0
ENSG00000237444	21	25031005	25031529	-	525	0
ENSG00000244278	21;21;21;21	25055535;25061626;25068727;25069716	25055584;25061711;25068878;25069906	+;+;+;+	479	0
ENSG00000232512	21;21;21;21;21;21	25095022;25095042;25101132;25101259;25103288;25103288	25095153;25095153;25101320;25101320;25103670;25103670	+;+;+;+;+;+	704	0
ENSG00000274662	21	25101132	25101415	+	284	0
ENSG00000223870	21;21;21;21	25127469;25133644;25134958;25135208	25127517;25133751;25135051;25135247	+;+;+;+	291	0
ENSG00000222042	21;21;21;21	25169431;25170757;25175241;25333737	25169749;25170906;25175445;25333825	-;-;-;-	763	0
ENSG00000238627	21	25202207	25202315	+	109	0
ENSG00000213885	21	25361821	25362431	+	611	36
ENSG00000279534	21	25371827	25372043	+	217	0
ENSG00000185433	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	25385820;25385820;25396194;25396487;25420708;25420708;25420708;25420708;25424554;25424554;25424554;25429766;25429766;25429766;25431178;25431178	25386338;25386338;25396684;25396684;25420800;25420800;25420800;25420800;25424709;25424649;25424649;25430009;25430009;25430009;25431701;25431701	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2027	2
ENSG00000229962	21;21	25515473;25518276	25516455;25518338	-;-	1046	2
ENSG00000234883	21;21;21;21;21	25561909;25562125;25569837;25573893;25573980	25562014;25562257;25569921;25575168;25574044	+;+;+;+;+	1600	2
ENSG00000260583	21	25582770	25583326	-	557	14
ENSG00000154719	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	25585656;25585656;25587701;25588835;25588835;25592812;25592812;25592812;25593893;25593893;25593893;25597302;25597302;25597302;25599799;25599799;25599799;25601368;25601368;25601368;25603796;25603796;25603796;25606449;25606449;25606449;25607403;25607403;25607403	25585754;25585754;25587789;25588882;25588882;25592965;25592965;25592965;25593958;25593958;25593958;25597414;25597414;25597414;25599836;25599866;25599866;25601467;25601467;25601467;25603935;25603935;25603935;25606655;25606655;25606655;25607484;25607517;25607517	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1199	174
ENSG00000154721	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	25639272;25639272;25639282;25683883;25683883;25683883;25689866;25689866;25689866;25693756;25693756;25693756;25693756;25698677;25698677;25698677;25698677;25702170;25702170;25702170;25702170;25702178;25705979;25705979;25705979;25705979;25705979;25709434;25709434;25709434;25709434;25709434;25711367;25711388;25712019;25712340;25712340;25712340;25712340;25712340;25714231;25714640;25714640;25714640;25714640;25714640	25639888;25639888;25639888;25683948;25683948;25683948;25689973;25689973;25689973;25693908;25693908;25693908;25693908;25698879;25698879;25698879;25698879;25702269;25702269;25702269;25702269;25702269;25706086;25706086;25706086;25706086;25706086;25710179;25709449;25709449;25709449;25709449;25711568;25711555;25712382;25712382;25712382;25712382;25712382;25712382;25714573;25714739;25714889;25714731;25717552;25717562	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5933	27
ENSG00000237731	21	25643489	25644216	+	728	0
ENSG00000227054	21	25692180	25692554	+	375	0
ENSG00000154723	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	25716503;25717661;25724480;25724480;25724480;25724480;25724480;25724480;25724698;25725226;25725226;25725226;25725226;25725226;25725226;25725226;25729631;25729631;25729631;25729631;25729631;25729631;25729631;25729631;25734333;25734853;25734853;25734853;25734939;25734989;25734989;25735315;25735487	25716560;25717759;25724677;25724677;25724677;25724677;25724677;25724677;25725350;25725350;25725350;25725350;25725350;25725350;25725350;25725350;25729801;25729801;25729801;25729801;25729801;25729801;25729801;25729801;25734375;25734904;25734972;25734904;25735033;25735673;25735027;25735646;25735639	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2043	92
ENSG00000154727	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	25734570;25735384;25735389;25741573;25741573;25745210;25745210;25745210;25749036;25749036;25749036;25751989;25751989;25751989;25758010;25758010;25762312;25762312;25764210;25764210;25764595;25764595;25769004;25769004	25735070;25735578;25735578;25741675;25741675;25745354;25745354;25745354;25749120;25749120;25749120;25752348;25752234;25752234;25758204;25758204;25762365;25762365;25764350;25764350;25764787;25764787;25772460;25772460	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5429	546
ENSG00000235514	21	25762938	25763333	-	396	4
ENSG00000142192	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	25880550;25880550;25880550;25880550;25880551;25881331;25881332;25881514;25881610;25891722;25891722;25891722;25891722;25891722;25891722;25891722;25891722;25891722;25897573;25897573;25897573;25897573;25897573;25897573;25897573;25897573;25897573;25905024;25905024;25905024;25905024;25905024;25905024;25905024;25911741;25911741;25911741;25911741;25911741;25911741;25911741;25911741;25945524;25954590;25954590;25954590;25954590;25954590;25954590;25954590;25954590;25954590;25955627;25955627;25955627;25955627;25955627;25955627;25955627;25955627;25955627;25975070;25975070;25975070;25975070;25975070;25975070;25975070;25975070;25975070;25975190;25975954;25975954;25975954;25975954;25975954;25975954;25975954;25975954;25975954;25975954;25982344;25982344;25982344;25982344;25982344;25982344;25982344;25982344;25982344;25982344;25997188;25997360;25997360;25997360;25997360;26000015;26000015;26000015;26000015;26000015;26000015;26000015;26009596;26021840;26021840;26021840;26021840;26021840;26021840;26021840;26021840;26021840;26021840;26021840;26021840;26021922;26051000;26051000;26051000;26051000;26051000;26051000;26051000;26051000;26051000;26051000;26051000;26051000;26051000;26051160;26053236;26053236;26053236;26053236;26053236;26053236;26053236;26053236;26053236;26053236;26053236;26053236;26068125;26089511;26089943;26089943;26089943;26089943;26089943;26089943;26089943;26089943;26089943;26089943;26111979;26111979;26111979;26111979;26111979;26111979;26111979;26111979;26111985;26140153;26169218;26170564;26170564;26170564;26170564;26170564;26170564;26170564;26170985	25881771;25881771;25881771;25881771;25881771;25881771;25881771;25881771;25881771;25891868;25891868;25891868;25891868;25891868;25891868;25891868;25891868;25891868;25897673;25897983;25897673;25897673;25897673;25897673;25897673;25897673;25897673;25905077;25905077;25905077;25905077;25905077;25905077;25905077;25911962;25911962;25911962;25911962;25911962;25911962;25911962;25911962;25945975;25954689;25954689;25954689;25954689;25954689;25954689;25954689;25954689;25954689;25955755;25955755;25955755;25955755;25955755;25955755;25955755;25955755;25955755;25975228;25975228;25975228;25975228;25975228;25975228;25975228;25975228;25975228;25975228;25976028;25976028;25976028;25976028;25976028;25976028;25976028;25976028;25976028;25976028;25982477;25982477;25982477;25982477;25982477;25982477;25982477;25982477;25982477;25982477;25997416;25997416;25997416;25997416;25997416;26000182;26000182;26000182;26000182;26000182;26000182;26000182;26009913;26022042;26022042;26022042;26022042;26022042;26022042;26022042;26022042;26022042;26022042;26022042;26022042;26022042;26051193;26051193;26051018;26051032;26051193;26051193;26051193;26051193;26051193;26051193;26051193;26051193;26051193;26051193;26053502;26053348;26053348;26053348;26053348;26053348;26053348;26053348;26053348;26053348;26053348;26053348;26068338;26090072;26090072;26090061;26090072;26090072;26090072;26090072;26090072;26090072;26090072;26090072;26112083;26112146;26112146;26112146;26112146;26112146;26112146;26112146;26112146;26140460;26169429;26170746;26170667;26170654;26170787;26170767;26170747;26170654;26171128	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6316	518
ENSG00000233783	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	25928754;25933816;25934087;25934089;25934306;25934312;25934341;25934712;25934910;25934910;25934910;25934910;25937790;25941308;25941308;25941308	25928997;25934366;25934366;25934189;25934366;25934366;25935178;25935126;25935178;25935048;25935048;25935270;25937912;25941803;25942686;25941641	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3201	24
ENSG00000251972	21	25943044	25943145	-	102	4
ENSG00000224541	21;21	26158091;26175610	26158267;26175824	+;+	392	6
ENSG00000273492	21;21;21;21;21;21;21	26170871;26170916;26180537;26214745;26214745;26215702;26215702	26171052;26171052;26180601;26214861;26214861;26215941;26217381	+;+;+;+;+;+;+	2044	0
ENSG00000206802	21	26190707	26190813	+	107	0
ENSG00000229025	21;21	26349780;26350267	26349927;26350634	-;-	516	0
ENSG00000232692	21;21;21;21;21;21;21;21;21;21;21;21;21;21	26378552;26382525;26387001;26387724;26387726;26390136;26413052;26416509;26416710;26417943;26470560;26470751;26470751;26470751	26378704;26382596;26387058;26387782;26387782;26390265;26413266;26416661;26416936;26418087;26470646;26471198;26471698;26471102	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2247	2
ENSG00000197934	21;21;21;21;21;21;21;21	26393635;26405943;26503582;26503582;26506567;26518522;26550319;26567957	26393697;26406128;26503702;26503702;26506732;26518593;26552127;26569252	+;+;+;+;+;+;+;+	3713	0
ENSG00000273115	21	26459903	26460214	-	312	0
ENSG00000166265	21;21;21;21;21;21;21;21	26466209;26477971;26480272;26480272;26566266;26566266;26572868;26572868	26468631;26478135;26480429;26480429;26566368;26566368;26573176;26573284	-;-;-;-;-;-;-;-	3266	0
ENSG00000154734	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	26835747;26836287;26838093;26838439;26838439;26838439;26839587;26839587;26839875;26839875;26839875;26840276;26840998;26840998;26841077;26841120;26841858;26841858;26841858;26841969;26842339;26842339;26842339;26842339;26842990;26843466;26843742;26844225	26838278;26838278;26838278;26838614;26839762;26838614;26839762;26839762;26840562;26840489;26840061;26840562;26841165;26841711;26841165;26841165;26841990;26841990;26841990;26841990;26842685;26842685;26842685;26842685;26843018;26843540;26843777;26845409	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7063	0
ENSG00000223563	21;21;21	26889376;26909866;26939616	26889444;26910030;26939742	+;+;+	361	0
ENSG00000154736	21;21;21;21;21;21;21;21	26917912;26929886;26932004;26932861;26934466;26943380;26954739;26965288	26924620;26930061;26932179;26933044;26934749;26943547;26954871;26966513	-;-;-;-;-;-;-;-	9056	0
ENSG00000266133	21	26953961	26954043	+	83	0
ENSG00000215326	21	27143344	27143949	-	606	2
ENSG00000231236	21;21;21;21	27358885;27398480;27399532;27448378	27361156;27398565;27399574;27448579	-;-;-;-	2603	0
ENSG00000236332	21;21;21;21;21	27361164;27362713;27387467;27391390;27395581	27361453;27362813;27387660;27391551;27395787	+;+;+;+;+	954	2
ENSG00000233300	21	27367014	27367947	-	934	0
ENSG00000217026	21	27420380	27421023	-	644	2
ENSG00000219592	21	27492118	27492261	+	144	0
ENSG00000234052	21;21;21	27638693;27648665;27653356	27638923;27648765;27653491	+;+;+	468	0
ENSG00000225298	21;21;21;21;21;21;21;21;21;21;21;21	27722379;27722398;27724799;27743393;27743393;27743393;27745818;27745818;27745818;27751072;27751072;27751072	27722413;27722413;27724881;27743504;27743504;27743504;27746032;27746032;27746036;27751233;27751233;27751233	+;+;+;+;+;+;+;+;+;+;+;+	611	0
ENSG00000234083	21;21;21	27954922;27977909;27985040	27955023;27978122;27985295	+;+;+	572	0
ENSG00000178457	21;21	28013363;28022697	28013432;28023233	+;+	607	0
ENSG00000232079	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	28048404;28048447;28087142;28089889;28090356;28090445;28095881;28101266;28101266;28102550;28102550;28102550;28102550;28102550;28102550;28130119;28130530;28135314;28135314;28136690	28048537;28048537;28087287;28090521;28090521;28090521;28096114;28101319;28101319;28102639;28103240;28103580;28102790;28102963;28102769;28130622;28130622;28135572;28135708;28137611	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4053	0
ENSG00000236532	21;21;21;21;21;21;21;21;21;21;21;21;21	28116094;28163602;28163602;28167226;28170078;28170078;28212240;28212306;28217178;28225884;28225884;28228362;28228362	28119874;28163717;28163717;28167319;28170143;28170143;28212348;28212351;28217347;28225991;28225991;28228480;28228667	-;-;-;-;-;-;-;-;-;-;-;-;-	4753	0
ENSG00000232855	21;21;21;21;21;21;21;21;21;21;21;21	28439346;28444549;28446290;28446290;28482957;28577219;28577275;28626585;28626585;28670981;28674647;28674647	28444809;28444809;28446472;28446472;28483069;28577380;28577380;28626676;28626604;28671296;28674773;28674848	-;-;-;-;-;-;-;-;-;-;-;-	6532	6
ENSG00000226935	21;21;21;21	28539318;28539318;28540053;28540053	28539528;28539884;28540355;28540355	+;+;+;+	870	2
ENSG00000283300	21	28743208	28743291	+	84	0
ENSG00000156239	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	28872191;28872191;28872191;28876312;28878192;28878192;28878192;28879870;28879870;28882160;28882160;28882160;28882985;28882985;28882985;28885212;28885212;28885212	28872739;28876491;28876491;28876491;28878333;28878333;28878333;28879953;28879953;28882250;28882250;28882250;28883071;28883071;28883071;28885371;28885371;28885371	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4865	437
ENSG00000215005	21;21	28887280;28888641	28888333;28889272	-;-	1686	6
ENSG00000215317	21;21;21	28901779;28902372;28903083	28902053;28902522;28903697	-;-;-	1041	0
ENSG00000198862	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	28928144;28928144;28928144;28931155;28931155;28931155;28932470;28932470;28932470;28935109;28935109;28935109;28936526;28936526;28936526;28941220;28941220;28941220;28943262;28943262;28943262;28943667;28943667;28943667;28944383;28944383;28944383;28945807;28945807;28945807;28946152;28946152;28946152;28947464;28947464;28947464;28952160;28952160;28952160;28953217;28953217;28953217;28956762;28956762;28956762;28957332;28957332;28957332;28958386;28958386;28958386;28958406;28958450;28959397;28959458;28959458;28959458;28959458;28960517;28960517;28960517;28960517;28961317;28964577;28965865;28965865;28965865;28965865;28966370;28966370;28966370;28966370;28966895;28967602;28969466;28969466;28969466;28969466;28969466;28970552;28970552;28970552;28970552;28970552;28971271;28971271;28971271;28971271;28971271;28981119;28981119;28981119;28981119;28981119;28982316;28982316;28982316;28982316;28982316;28984692;28984692;28984692;28984692;28984692;28986139;28986139;28986139;28986139;28986139;28986731;28986731;28986731;28986731;28986731;28992764;28992764;28992764;28992764	28930510;28930510;28930510;28931322;28931322;28931322;28932664;28932664;28932664;28935329;28935329;28935329;28936697;28936697;28936697;28941406;28941406;28941406;28943336;28943336;28943336;28943904;28943904;28943904;28944596;28944596;28944596;28945951;28945951;28945951;28946287;28946287;28946287;28947606;28947606;28947606;28952264;28952264;28952264;28953376;28953376;28953376;28956948;28956948;28956948;28957476;28957476;28957476;28958539;28958539;28958539;28958539;28958539;28959697;28959862;28959697;28959697;28959697;28960821;28960706;28960706;28960706;28961533;28964766;28965906;28965906;28965906;28965906;28967179;28967179;28967179;28967179;28967179;28967973;28969601;28969601;28969601;28969601;28969601;28970742;28970742;28970742;28970742;28970742;28971444;28971444;28971444;28971444;28971444;28981299;28981299;28981299;28981299;28981299;28982368;28982368;28982368;28982368;28982368;28984922;28984922;28984922;28984922;28984922;28986237;28986237;28986237;28986237;28986237;28986761;28986934;28986934;28986934;28986934;28992949;28992956;28992949;28992885	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8876	815
ENSG00000176054	21	28997613	28998033	-	421	10
ENSG00000156253	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	29004384;29005759;29005759;29005759;29007761;29007761;29007761;29007761;29007876;29007900;29008064;29008240;29008240;29008240;29008240;29008395;29008395;29008395;29008395;29009595;29009595;29009627;29019211;29019211;29019211;29019211;29019211;29019211;29019211	29006651;29006651;29006651;29006651;29008123;29008123;29008123;29008123;29008621;29008621;29008123;29008307;29008621;29008307;29008307;29008621;29008621;29008621;29008621;29009692;29009692;29009692;29019360;29019340;29019306;29019359;29019352;29019350;29019378	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3395	289
ENSG00000273254	21	29024255	29024890	-	636	8
ENSG00000156256	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	29024629;29024629;29024651;29024651;29024656;29025709;29026567;29027873;29027873;29027873;29027873;29027873;29030595;29030595;29030595;29030595;29030595;29034837;29034837;29034837;29034837;29034837;29036271;29036271;29036271;29036271;29037276;29037276;29037276;29037279;29038335;29038335;29038335;29038335;29039026;29039026;29039026;29039026;29039481;29039481;29039481;29039481;29040609;29040609;29040609;29040609;29042013;29042013;29042013;29042013;29042472;29042472;29042472;29042472;29043423;29043423;29043423;29046667;29046667;29046667;29046667;29048761;29048761;29048761;29048761;29050092;29050092;29050092;29050092;29052123;29053802;29053802;29053802;29053802;29054066;29054066;29054066;29054066;29054066	29024777;29024777;29024777;29024777;29024777;29025771;29026661;29027974;29027974;29027974;29027974;29027974;29030773;29030773;29030773;29030773;29030773;29034919;29034940;29034940;29034940;29034940;29036374;29036374;29036374;29036374;29037463;29037463;29037463;29037463;29038430;29038430;29038430;29038430;29039156;29039156;29039156;29039156;29039568;29039568;29039568;29039568;29040687;29040687;29040687;29040687;29042104;29042104;29042104;29042104;29043599;29042528;29042528;29042528;29043599;29043599;29043599;29047321;29047321;29047321;29047321;29048855;29048855;29048855;29048855;29050178;29050178;29050178;29050178;29053958;29053958;29053958;29053958;29053958;29054488;29054488;29054488;29054488;29054488	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5694	623
ENSG00000156261	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	29055805;29056322;29056324;29056324;29056324;29056329;29056456;29060541;29060541;29060541;29060541;29060541;29060541;29061253;29061253;29061253;29061253;29061253;29061253;29061496;29061496;29061496;29061496;29061496;29062128;29062128;29062128;29062128;29062128;29062128;29062169;29062209;29062328;29062328;29062328;29062328;29062328;29062328;29062490;29062490;29062490;29062490;29062490;29062490;29062490;29063352;29063352;29063352;29063352;29063352;29063352;29064968;29064968;29064968;29064968;29065060;29065076;29066716;29066716;29066716;29066716;29066716;29066716;29066716;29066891;29066891;29066891;29066891;29066891;29066891;29067556;29067556;29067556;29067556;29067556;29067556;29067556;29067590;29069423;29069423;29069423;29069423;29069423;29069423;29069423;29070247;29070247;29070247;29070247;29070247;29070247;29070247;29070247;29071952;29071952;29073206;29073260;29073506;29073531;29073531;29073531;29073531	29056019;29056552;29056552;29056552;29056552;29056552;29056552;29060660;29060660;29060660;29060660;29060660;29060660;29061417;29061417;29061417;29061417;29061417;29061376;29061567;29061567;29061567;29061567;29061567;29062243;29062243;29062243;29062243;29062867;29062243;29062415;29062243;29062415;29062415;29062415;29062415;29062415;29062415;29062556;29062556;29062737;29062556;29062556;29062556;29062556;29063530;29063468;29063530;29063530;29063530;29063530;29065105;29065105;29065105;29065105;29065105;29065105;29066777;29067071;29066777;29066777;29066777;29066777;29066777;29067071;29067071;29067071;29067071;29067071;29067071;29067705;29067705;29067705;29067705;29067705;29067705;29067705;29067705;29069502;29069502;29069502;29069502;29069502;29069502;29069502;29070337;29070337;29070337;29070337;29070337;29070337;29070337;29070337;29072236;29071988;29073432;29073351;29073639;29073615;29073565;29073797;29073797	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3341	259
ENSG00000231125	21;21	29058073;29059422	29058192;29060095	-;-	794	14
